MatrixIndex,ConditionNumber,MatlabCond,PinvDifference
750,33306003.53,33306003.41,3.41E-09
751,35690493.5,35690493.32,4.95E-09
752,38245697.14,38245697.1,1.04E-09
753,40983836.56,40983836.58,4.86E-10
754,43918008.77,43918008.87,2.27E-09
755,47062248.26,47062248.57,6.48E-09
756,50431594.83,50431594.87,7.58E-10
757,54042163.84,54042163.89,1.03E-09
758,57911226.37,57911226.47,1.69E-09
759,62057288.14,62057288.35,3.40E-09
760,66500180.66,66500180.44,3.23E-09
761,71261154.74,71261154.69,6.31E-10
762,76362983.22,76362982.64,7.54E-09
763,81830068.38,81830068.35,4.18E-10
764,87688560.75,87688560.97,2.47E-09
765,93966483.06,93966482.87,2.00E-09
766,100693863,100693862.8,1.98E-09
767,107902878.8,107902880.5,1.53E-08
768,115628013.9,115628013.1,7.18E-09
769,123906215.9,123906214.9,8.60E-09
770,132777083.8,132777083.5,2.10E-09
771,142283046.9,142283046.5,2.59E-09
772,152469572.6,152469573.5,6.04E-09
773,163385387.7,163385390.5,1.72E-08
774,175082703,175082701.3,9.66E-09
775,187617472.4,187617471.3,5.79E-09
776,201049641.2,201049637.7,1.74E-08
777,215443471.7,215443465.2,3.04E-08
778,230867799.2,230867798.7,2.17E-09
779,247396407.2,247396402.3,2.02E-08
780,265108353.9,265108361.8,2.98E-08
781,284088366.5,284088369,8.87E-09
782,304427217.3,304427215.7,5.23E-09
783,326222194.3,326222184.4,3.04E-08
784,349577553.3,349577567.5,4.04E-08
785,374604999,374605009.3,2.75E-08
786,401424245.5,401424224.5,5.25E-08
787,430163574.1,430163553.8,4.70E-08
788,460960454,460960461.9,1.71E-08
789,493962170.8,493962173.5,5.47E-09
790,529326598.6,529326586.4,2.31E-08
791,567222910.8,567222912.1,2.27E-09
792,607832309.3,607832314.2,8.12E-09
793,651349066.5,651349117.9,7.89E-08
794,697981368.1,697981396,4.01E-08
795,747952228.5,747952232.9,5.93E-09
796,801500691,801500658.4,4.06E-08
797,858882834.3,858882763.4,8.25E-08
798,920373238.1,920373262.8,2.68E-08
799,986265815.3,986265810.6,4.78E-09
800,1056875833,1056875864,2.96E-08
801,1132541351,1132541374,2.02E-08
802,1213623767,1213623689,6.42E-08
803,1300511182,1300511338,1.20E-07
804,1393619247,1393619316,4.93E-08
805,1493393203,1493393212,6.03E-09
806,1600310291,1600310365,4.64E-08
807,1714881819,1714881922,6.00E-08
808,1837656230,1837656496,1.45E-07
809,1969220264,1969220228,1.80E-08
810,2110203737,2110203713,1.16E-08
811,2261280156,2261279967,8.33E-08
812,2423172857,2423172590,1.10E-07
813,2596656525,2596656023,1.93E-07
814,2782559206,2782559086,4.31E-08
815,2981772093,2981771861,7.77E-08
816,3195247786,3195247864,2.46E-08
817,3424006068,3424005694,1.09E-07
818,3669142505,3669142138,1.00E-07
819,3931828104,3931828174,1.77E-08
820,4213321711,4213323231,3.61E-07
821,4514968191,4514970340,4.76E-07
822,4838210707,4838211962,2.60E-07
823,5184594435,5184596229,3.46E-07
824,5555776178,5555780438,7.67E-07
825,5953532779,5953536580,6.38E-07
826,6379769051,6379764173,7.65E-07
827,6836518461,6836517788,9.84E-08
828,7325967855,7325968586,9.98E-08
829,7850457022,7850454060,3.77E-07
830,8412499501,8412496731,3.29E-07
831,9014775331,9014778399,3.40E-07
832,9660175057,9660184282,9.55E-07
833,10351779259,10351782921,3.54E-07
834,11092892473,11092889077,3.06E-07
835,11887083801,11887076749,5.93E-07
836,12738096837,12738112453,1.23E-06
837,13650076801,13650075993,5.92E-08
838,14627316306,14627320013,2.53E-07
839,15674566848,15674546734,1.28E-06
840,16796740977,16796753170,7.26E-07
841,17999290275,17999308235,9.98E-07
842,19287930034,19287932924,1.50E-07
843,20668782619,20668841490,2.85E-06
844,22148536517,22148546756,4.62E-07
845,23734235259,23734245659,4.38E-07
846,25433471137,25433438061,1.30E-06
847,27254319694,27254305529,5.20E-07
848,29205511169,29205512502,4.56E-08
849,31296487365,31296511086,7.58E-07
850,33537081350,33537158155,2.29E-06
851,35938072015,35938052945,5.31E-07
852,38511049271,38511006837,1.10E-06
853,41268260713,41268304176,1.05E-06
854,44222693429,44222813511,2.72E-06
855,47388951491,47389260299,6.52E-06
856,50781539735,50781398374,2.78E-06
857,54417318747,54417427047,1.99E-06
858,58313012483,58312682488,5.66E-06
859,62487880363,62487916077,5.72E-07
860,66961193973,66961450292,3.83E-06
861,71756097758,71755387490,9.90E-06
862,76892948829,76892650855,3.88E-06
863,82397655901,82397986323,4.01E-06
864,88296895028,88297339580,5.03E-06
865,94618699055,94619578047,9.29E-06
866,1.01393E+11,1.01392E+11,1.03E-05
867,1.08652E+11,1.08651E+11,4.97E-06
868,1.16431E+11,1.16432E+11,9.06E-06
869,1.24767E+11,1.24765E+11,9.94E-06
870,1.33699E+11,1.33699E+11,3.19E-06
871,1.4327E+11,1.4327E+11,1.30E-06
872,1.53528E+11,1.53528E+11,4.29E-06
873,1.64519E+11,1.64517E+11,8.29E-06
874,1.763E+11,1.76301E+11,5.29E-06
875,1.88922E+11,1.88918E+11,1.81E-05
876,2.02448E+11,2.02446E+11,9.31E-06
877,2.16935E+11,2.16939E+11,1.78E-05
878,2.3247E+11,2.32466E+11,1.71E-05
879,2.4911E+11,2.49113E+11,1.04E-05
880,2.66941E+11,2.66946E+11,2.13E-05
881,2.86055E+11,2.86057E+11,7.97E-06
882,3.06542E+11,3.06536E+11,2.20E-05
883,3.2848E+11,3.28493E+11,3.85E-05
884,3.52002E+11,3.52004E+11,5.19E-06
885,3.77189E+11,3.77186E+11,6.21E-06
886,4.04209E+11,4.04202E+11,1.68E-05
887,4.33165E+11,4.33148E+11,3.85E-05
888,4.64159E+11,4.64171E+11,2.60E-05
889,4.97378E+11,4.97387E+11,1.72E-05
890,5.3299E+11,5.33012E+11,4.08E-05
891,5.71154E+11,5.71162E+11,1.35E-05
892,6.12041E+11,6.12012E+11,4.78E-05
893,6.55827E+11,6.55851E+11,3.76E-05
894,7.02792E+11,7.0284E+11,6.81E-05
895,7.53163E+11,7.53104E+11,7.85E-05
896,8.07094E+11,8.07095E+11,1.57E-06
897,8.64816E+11,8.64845E+11,3.37E-05
898,9.26791E+11,9.26709E+11,8.77E-05
899,9.93091E+11,9.93119E+11,2.82E-05
900,1.06421E+12,1.06426E+12,4.68E-05
901,1.14035E+12,1.14045E+12,8.27E-05
902,1.22203E+12,1.22196E+12,5.81E-05
903,1.30945E+12,1.30942E+12,2.66E-05
904,1.40342E+12,1.40346E+12,2.66E-05
905,1.50363E+12,1.5037E+12,5.00E-05
906,1.61145E+12,1.61162E+12,0.00010402
907,1.72689E+12,1.7267E+12,0.000111832
908,1.85043E+12,1.85073E+12,0.000162873
909,1.98269E+12,1.98296E+12,0.000134569
910,2.12422E+12,2.12492E+12,0.000329983
911,2.27724E+12,2.27669E+12,0.000240555
912,2.43973E+12,2.44011E+12,0.000154188
913,2.61453E+12,2.61466E+12,5.13E-05
914,2.80196E+12,2.80213E+12,6.23E-05
915,3.00241E+12,3.00214E+12,8.95E-05
916,3.21748E+12,3.21711E+12,0.00011564
917,3.44748E+12,3.4482E+12,0.000207975
918,3.69289E+12,3.69505E+12,0.000584651
919,3.95869E+12,3.95836E+12,8.29E-05
920,4.24204E+12,4.24148E+12,0.000132764
921,4.54672E+12,4.54427E+12,0.000539165
922,4.86993E+12,4.87202E+12,0.000428147
923,5.22044E+12,5.21912E+12,0.00025363
924,5.59555E+12,5.5942E+12,0.000242377
925,5.99764E+12,5.98979E+12,0.001309195
926,6.42505E+12,6.42439E+12,0.000102499
927,6.87892E+12,6.88527E+12,0.000922878
928,7.37959E+12,7.37416E+12,0.000735584
929,7.9089E+12,7.90607E+12,0.000358499
930,8.469E+12,8.47196E+12,0.000349703
931,9.07194E+12,9.07194E+12,1.57E-07
932,9.72112E+12,9.72342E+12,0.000236799
933,1.04125E+13,1.04241E+13,0.001115928
934,1.11727E+13,1.11602E+13,0.001119379
935,1.19645E+13,1.19749E+13,0.00086348
936,1.28174E+13,1.28355E+13,0.001407581
937,1.37351E+13,1.37213E+13,0.001005417
938,1.47282E+13,1.47304E+13,0.000148318
939,1.57714E+13,1.57988E+13,0.001736025
940,1.69117E+13,1.6893E+13,0.001104974
941,1.81115E+13,1.81187E+13,0.000399203
942,1.93956E+13,1.94288E+13,0.001709527
943,2.0841E+13,2.08128E+13,0.001354837
944,2.22983E+13,2.22974E+13,3.77E-05
945,2.39482E+13,2.3871E+13,0.003228062
946,2.56102E+13,2.56038E+13,0.000250854
947,2.74686E+13,2.75336E+13,0.002365745
948,2.9443E+13,2.9481E+13,0.001291163
949,3.15152E+13,3.1586E+13,0.002246529
950,3.38132E+13,3.39187E+13,0.003123129
951,3.62301E+13,3.62801E+13,0.001381278
952,3.89363E+13,3.9002E+13,0.001694182
953,4.15614E+13,4.16507E+13,0.002148352
954,4.45498E+13,4.45522E+13,5.32E-05
955,4.79673E+13,4.76389E+13,0.006882422
956,5.13076E+13,5.10525E+13,0.004989351
957,5.47267E+13,5.48021E+13,0.001375143
958,5.86353E+13,5.89019E+13,0.004541238
959,6.28253E+13,6.27326E+13,0.001472843
960,6.74506E+13,6.79788E+13,0.007833908
961,7.23153E+13,7.26745E+13,0.00497111
962,7.7735E+13,7.72276E+13,0.006553066
963,8.3255E+13,8.32756E+13,0.000247943
964,8.83736E+13,8.86854E+13,0.003507697
965,9.46419E+13,9.46764E+13,0.000362877
966,1.02835E+14,1.03375E+14,0.005289362
967,1.09658E+14,1.09865E+14,0.001888163
968,1.18364E+14,1.17839E+14,0.004482262
969,1.25337E+14,1.25699E+14,0.002876718
970,1.35198E+14,1.33827E+14,0.010182907
971,1.4472E+14,1.45902E+14,1.003156813
972,1.54945E+14,1.55033E+14,1.002275386
973,1.63473E+14,1.61933E+14,0.986792461
974,1.78257E+14,1.75128E+14,1.004145943
975,1.91105E+14,1.91543E+14,1.004600983
976,2.05962E+14,2.03679E+14,1.010364791
977,2.14129E+14,2.17607E+14,0.980250098
978,2.34584E+14,2.32241E+14,1.002141873
979,2.53646E+14,2.54073E+14,1.011178927
980,2.72007E+14,2.63853E+14,1.011928613
981,2.87244E+14,2.72953E+14,0.997221666
982,3.14687E+14,3.24386E+14,1.019503287
983,3.23477E+14,3.32228E+14,0.977965845
984,3.56557E+14,3.5327E+14,1.005956868
985,3.72809E+14,3.84106E+14,0.981536725
986,3.98377E+14,4.14361E+14,0.978780098
987,4.15286E+14,4.24428E+14,0.952155614
988,4.64571E+14,4.65804E+14,0.99399023
989,5.06321E+14,5.0203E+14,1.010942212
990,5.62665E+14,5.23688E+14,1.048383603
991,5.7342E+14,6.13382E+14,0.997041405
992,6.07895E+14,5.61351E+14,0.986368137
993,6.65866E+14,6.68005E+14,1.008247495
994,7.08077E+14,7.54309E+14,1.000530541
995,7.75767E+14,7.56158E+14,1.022942947
996,8.08777E+14,8.24651E+14,0.995219135
997,9.1936E+14,7.57105E+14,1.055712689
998,8.99283E+14,1.06E+15,0.963665339
999,1.01E+15,1.05E+15,3.43E-28
