MatrixIndex,ConditionNumber,MatlabCond,PinvDifference
249,33306003.3,33306003.28,0.011984027
250,31080821.75,31080821.75,0.006312914
251,29004304.92,29004304.88,0.038968814
252,27066520.67,27066520.67,0.002967594
253,25258200.27,25258200.28,0.015315933
254,23570694.08,23570694.16,0.080824672
255,21995930.7,21995930.69,0.009443099
256,20526377.54,20526377.52,0.021762056
257,19155005.57,19155005.57,0.001087768
258,17875255.27,17875255.25,0.018392999
259,16681005.38,16681005.37,0.007025652
260,15566543.58,15566543.59,0.004227455
261,14526539.25,14526539.28,0.033992038
262,13556017.86,13556017.86,0.007979507
263,12650337.21,12650337.21,0.00295047
264,11805165.3,11805165.28,0.015255192
265,11016459.5,11016459.5,0.002795829
266,10280447.32,10280447.32,0.004622689
267,9593608.284,9593608.287,0.003216371
268,8952657.122,8952657.131,0.008557799
269,8354528.058,8354528.064,0.00655546
270,7796360.133,7796360.129,0.003810834
271,7275483.53,7275483.53,0.000730055
272,6789406.812,6789406.816,0.004415407
273,6335804.991,6335804.983,0.008370825
274,5912508.414,5912508.414,0.00034778
275,5517492.378,5517492.374,0.003392207
276,5148867.449,5148867.448,0.001056049
277,4804870.44,4804870.44,0.000121346
278,4483855.946,4483855.95,0.003692093
279,4184288.508,4184288.508,0.000563142
280,3904735.235,3904735.237,0.001718614
281,3643858.985,3643858.984,0.000425194
282,3400411.932,3400411.932,0.000488359
283,3173229.634,3173229.636,0.001917818
284,2961225.439,2961225.437,0.001517857
285,2763385.29,2763385.291,0.000473501
286,2578762.887,2578762.887,0.000225449
287,2406475.15,2406475.15,0.00016247
288,2245697.996,2245697.995,0.000414036
289,2095662.4,2095662.399,0.00031938
290,1955650.716,1955650.716,0.000133448
291,1824993.245,1824993.245,0.000186783
292,1703065.029,1703065.029,1.79E-05
293,1589282.865,1589282.865,4.72E-05
294,1483102.514,1483102.514,0.000114646
295,1384016.097,1384016.097,5.36E-05
296,1291549.665,1291549.665,0.000206075
297,1205260.937,1205260.937,5.05E-05
298,1124737.178,1124737.178,2.92E-05
299,1049593.23,1049593.23,3.51E-06
300,979469.6671,979469.6671,2.65E-05
301,914031.0748,914031.0748,2.21E-05
302,852964.45,852964.4499,8.29E-05
303,795977.7003,795977.7002,7.66E-05
304,742798.2483,742798.2482,2.01E-05
305,693171.7276,693171.7276,1.03E-05
306,646860.7661,646860.7661,7.83E-06
307,603643.8506,603643.8506,3.21E-05
308,563314.2671,563314.2671,1.70E-05
309,525679.1122,525679.1122,3.04E-05
310,490558.3706,490558.3706,1.10E-05
311,457784.0538,457784.0538,4.31E-06
312,427199.3966,427199.3966,2.26E-05
313,398658.1074,398658.1074,1.00E-05
314,372023.6681,372023.6682,6.35E-06
315,347168.6819,347168.6819,1.80E-05
316,323974.263,323974.2629,8.36E-06
317,302329.4684,302329.4684,3.72E-06
318,282130.7676,282130.7676,5.14E-06
319,263281.5466,263281.5466,4.42E-06
320,245691.6463,245691.6463,4.48E-06
321,229276.9313,229276.9313,1.78E-06
322,213958.8871,213958.8871,2.01E-08
323,199664.245,199664.245,5.67E-07
324,186324.6312,186324.6312,2.39E-06
325,173876.24,173876.24,4.22E-07
326,162259.5287,162259.5287,1.65E-06
327,151418.9325,151418.9325,1.61E-06
328,141302.5991,141302.5991,3.43E-06
329,131862.1401,131862.1401,7.31E-08
330,123052.4004,123052.4004,1.10E-06
331,114831.2415,114831.2415,2.73E-07
332,107159.34,107159.34,5.51E-07
333,100000,100000,6.98E-08
334,93318.97716,93318.97716,3.88E-08
335,87084.31498,87084.31498,6.37E-07
336,81266.192,81266.192,8.64E-07
337,75836.77915,75836.77915,9.35E-07
338,70770.10661,70770.10661,4.53E-07
339,66041.93962,66041.93962,2.28E-07
340,61629.66255,61629.66255,2.57E-07
341,57512.17072,57512.17072,2.82E-07
342,53669.76946,53669.76946,7.14E-08
343,50084.0799,50084.0799,1.72E-07
344,46737.95108,46737.95108,2.19E-07
345,43615.37789,43615.37789,3.50E-07
346,40701.42453,40701.42453,9.47E-08
347,37982.15306,37982.15306,9.45E-08
348,35444.55674,35444.55674,1.13E-07
349,33076.49781,33076.49781,9.26E-08
350,30866.64943,30866.64943,2.90E-08
351,28804.44153,28804.44153,3.19E-08
352,26880.01022,26880.01022,4.19E-09
353,25084.15059,25084.15059,1.90E-08
354,23408.27276,23408.27276,2.32E-08
355,21844.36071,21844.36071,1.06E-08
356,20384.93398,20384.93398,7.10E-09
357,19023.01189,19023.01189,3.89E-08
358,17752.08012,17752.08012,1.92E-08
359,16566.05959,16566.05959,1.25E-08
360,15459.27736,15459.27736,1.48E-08
361,14426.43951,14426.43951,3.39E-09
362,13462.60579,13462.60579,5.87E-09
363,12563.16602,12563.16602,2.46E-09
364,11723.81803,11723.81803,2.45E-08
365,10940.54707,10940.54707,1.16E-08
366,10209.60662,10209.60662,8.65E-09
367,9527.500472,9527.500472,4.82E-09
368,8890.96599,8890.96599,9.76E-10
369,8296.958521,8296.958521,1.72E-09
370,7742.636827,7742.636827,2.27E-09
371,7225.349492,7225.349492,5.03E-09
372,6742.622242,6742.622242,6.68E-09
373,6292.14611,6292.14611,1.08E-09
374,5871.766391,5871.766391,9.56E-10
375,5479.472337,5479.472337,6.23E-11
376,5113.387538,5113.387538,4.01E-09
377,4771.760949,4771.760949,1.22E-09
378,4452.95851,4452.95851,1.43E-09
379,4155.455335,4155.455335,5.38E-10
380,3877.828415,3877.828415,1.37E-09
381,3618.749812,3618.749812,3.47E-10
382,3376.980311,3376.980311,1.48E-10
383,3151.363485,3151.363485,6.08E-10
384,2940.820171,2940.820171,5.73E-10
385,2744.343303,2744.343303,1.51E-11
386,2560.9931,2560.9931,6.78E-10
387,2389.892566,2389.892566,6.08E-10
388,2230.223298,2230.223298,1.78E-10
389,2081.22157,2081.22157,1.53E-10
390,1942.174681,1942.174681,1.74E-10
391,1812.417547,1812.417547,1.96E-11
392,1691.329517,1691.329517,1.06E-10
393,1578.331406,1578.331406,2.26E-10
394,1472.882724,1472.882724,1.37E-10
395,1374.479093,1374.479093,1.24E-10
396,1282.649831,1282.649831,1.04E-11
397,1196.955702,1196.955702,2.85E-11
398,1116.986818,1116.986818,4.39E-12
399,1042.360674,1042.360674,5.32E-11
400,972.7203192,972.7203192,1.60E-10
401,907.7326525,907.7326525,4.07E-11
402,847.0868267,847.0868267,3.39E-11
403,790.4927623,790.4927623,1.27E-11
404,737.6797603,737.6797603,5.11E-11
405,688.395207,688.395207,2.07E-11
406,642.4033659,642.4033659,3.50E-11
407,599.4842503,599.4842503,7.13E-12
408,559.4325706,559.4325706,1.75E-11
409,522.0567528,522.0567528,1.70E-11
410,487.1780219,487.1780219,8.20E-12
411,454.629547,454.629547,2.41E-11
412,424.2556431,424.2556431,2.49E-12
413,395.9110266,395.9110266,2.69E-11
414,369.4601205,369.4601205,7.31E-12
415,344.7764055,344.7764055,1.36E-12
416,321.7418151,321.7418151,4.38E-12
417,300.2461709,300.2461709,6.55E-12
418,280.1866556,280.1866556,6.10E-12
419,261.4673212,261.4673212,8.16E-12
420,243.9986297,243.9986297,3.37E-12
421,227.6970255,227.6970255,2.05E-12
422,212.4845352,212.4845352,3.67E-12
423,198.2883949,198.2883949,4.30E-12
424,185.040702,185.040702,2.65E-12
425,172.6780904,172.6780904,2.58E-12
426,161.1414277,161.1414277,1.43E-12
427,150.3755321,150.3755321,6.32E-13
428,140.3289085,140.3289085,1.54E-12
429,130.953502,130.953502,3.25E-12
430,122.2044687,122.2044687,8.91E-13
431,114.0399602,114.0399602,1.33E-12
432,106.4209244,106.4209244,1.46E-12
433,99.31091814,99.31091814,6.51E-13
434,92.67593301,92.67593301,4.35E-13
435,86.48423276,86.48423276,7.26E-13
436,80.70620141,80.70620141,6.96E-13
437,75.31420166,75.31420166,8.83E-13
438,70.28244264,70.28244264,7.78E-13
439,65.5868566,65.5868566,3.39E-13
440,61.20498372,61.20498372,3.15E-13
441,57.11586478,57.11586478,2.36E-13
442,53.29994081,53.29994081,3.13E-13
443,49.73895959,49.73895959,3.76E-13
444,46.41588834,46.41588834,4.13E-13
445,43.31483223,43.31483223,2.08E-13
446,40.4209584,40.4209584,1.79E-13
447,37.72042493,37.72042493,1.71E-13
448,35.20031473,35.20031473,2.43E-13
449,32.84857366,32.84857366,2.19E-13
450,30.65395295,30.65395295,1.73E-13
451,28.60595535,28.60595535,1.27E-13
452,26.69478494,26.69478494,2.46E-13
453,24.91130026,24.91130026,1.27E-13
454,23.2469706,23.2469706,1.13E-13
455,21.69383518,21.69383518,1.16E-13
456,20.2444651,20.2444651,9.81E-14
457,18.89192776,18.89192776,8.86E-14
458,17.62975375,17.62975375,9.18E-14
459,16.45190588,16.45190588,8.29E-14
460,15.35275029,15.35275029,8.95E-14
461,14.32702953,14.32702953,7.08E-14
462,13.36983742,13.36983742,8.34E-14
463,12.47659553,12.47659553,7.23E-14
464,11.64303133,11.64303133,6.64E-14
465,10.86515775,10.86515775,6.16E-14
466,10.13925408,10.13925408,5.84E-14
467,9.461848195,9.461848195,5.70E-14
468,8.829699955,8.829699955,5.36E-14
469,8.239785685,8.239785685,4.80E-14
470,7.689283721,7.689283721,4.72E-14
471,7.175560919,7.175560919,4.67E-14
472,6.696160055,6.696160055,4.49E-14
473,6.248788072,6.248788072,4.13E-14
474,5.831305114,5.831305114,4.01E-14
475,5.441714287,5.441714287,3.68E-14
476,5.078152112,5.078152112,3.84E-14
477,4.73887961,4.73887961,3.50E-14
478,4.422273981,4.422273981,3.40E-14
479,4.126820846,4.126820846,3.51E-14
480,3.851107002,3.851107002,3.18E-14
481,3.593813664,3.593813664,2.91E-14
482,3.353710152,3.353710152,2.73E-14
483,3.129648011,3.129648011,2.82E-14
484,2.920555512,2.920555512,2.69E-14
485,2.725432531,2.725432531,2.94E-14
486,2.543345761,2.543345761,2.50E-14
487,2.37342425,2.37342425,2.39E-14
488,2.214855234,2.214855234,2.38E-14
489,2.06688025,2.06688025,2.18E-14
490,1.928791508,1.928791508,2.12E-14
491,1.799928507,1.799928507,2.28E-14
492,1.679674872,1.679674872,1.88E-14
493,1.56745541,1.56745541,1.83E-14
494,1.462733356,1.462733356,1.81E-14
495,1.365007807,1.365007807,1.68E-14
496,1.273811323,1.273811323,1.72E-14
497,1.188707698,1.188707698,1.54E-14
498,1.109289865,1.109289865,1.46E-14
499,1.035177956,1.035177956,1.48E-14
500,1.035177956,1.035177956,1.51E-14
501,1.109289865,1.109289865,1.45E-14
502,1.188707698,1.188707698,1.37E-14
503,1.273811323,1.273811323,1.32E-14
504,1.365007807,1.365007807,1.33E-14
505,1.462733356,1.462733356,1.26E-14
506,1.56745541,1.56745541,1.23E-14
507,1.679674872,1.679674872,1.16E-14
508,1.799928507,1.799928507,1.30E-14
509,1.928791508,1.928791508,1.14E-14
510,2.06688025,2.06688025,1.11E-14
511,2.214855234,2.214855234,9.55E-15
512,2.37342425,2.37342425,9.58E-15
513,2.543345761,2.543345761,9.40E-15
514,2.725432531,2.725432531,8.71E-15
515,2.920555512,2.920555512,8.78E-15
516,3.129648011,3.129648011,8.42E-15
517,3.353710152,3.353710152,8.49E-15
518,3.593813664,3.593813664,7.63E-15
519,3.851107002,3.851107002,7.61E-15
520,4.126820846,4.126820846,9.59E-15
521,4.422273981,4.422273981,7.82E-15
522,4.73887961,4.73887961,7.48E-15
523,5.078152112,5.078152112,8.08E-15
524,5.441714287,5.441714287,7.33E-15
525,5.831305114,5.831305114,6.61E-15
526,6.248788072,6.248788072,7.58E-15
527,6.696160055,6.696160055,6.17E-15
528,7.175560919,7.175560919,6.84E-15
529,7.689283721,7.689283721,6.36E-15
530,8.239785685,8.239785685,5.99E-15
531,8.829699955,8.829699955,6.18E-15
